census_tract_number,pct_denied_2015,pct_own_occupied_loan_2015,median_loan_amt_2015,pct_refinancing_2015,pct_denied_2010,pct_own_occupied_loan_2010,median_loan_amt_2010,pct_refinancing_2010
8001.02,19.607843137254903,91.50326797385621,190000,67.97385620915033,19.607843137254903,91.50326797385621,190000,67.97385620915033
8001.03,24.561403508771928,92.98245614035088,241000,78.94736842105263,24.561403508771928,92.98245614035088,241000,78.94736842105263
8001.05,20.634920634920633,95.23809523809523,183000,52.6984126984127,20.634920634920633,95.23809523809523,183000,52.6984126984127
8001.06,19.45525291828794,96.10894941634241,215000,61.478599221789885,19.45525291828794,96.10894941634241,215000,61.478599221789885
8001.07,19.572953736654807,95.37366548042705,202000,59.7864768683274,19.572953736654807,95.37366548042705,202000,59.7864768683274
8002.02,16.29139072847682,96.15894039735099,242000,60.13245033112583,16.29139072847682,96.15894039735099,242000,60.13245033112583
8002.03,8.547008547008547,98.86039886039886,270000,67.23646723646723,8.547008547008547,98.86039886039886,270000,67.23646723646723
8002.06,19.747899159663866,97.89915966386555,200500,51.68067226890757,19.747899159663866,97.89915966386555,200500,51.68067226890757
8002.07,19.00826446280992,96.28099173553719,219000,54.54545454545454,19.00826446280992,96.28099173553719,219000,54.54545454545454
8002.08,12.88056206088993,97.65807962529274,267000,64.63700234192038,12.88056206088993,97.65807962529274,267000,64.63700234192038
8002.09,21.62162162162162,94.5945945945946,230000,75.67567567567568,21.62162162162162,94.5945945945946,230000,75.67567567567568
8002.10,9.174311926605505,95.41284403669725,382000,31.19266055045872,9.174311926605505,95.41284403669725,382000,31.19266055045872
8002.11,13.636363636363635,97.27272727272728,240000,55.45454545454545,13.636363636363635,97.27272727272728,240000,55.45454545454545
8004.01,11.87214611872146,97.26027397260275,243000,71.23287671232876,11.87214611872146,97.26027397260275,243000,71.23287671232876
8004.02,10.886075949367088,95.69620253164557,216000,71.64556962025317,10.886075949367088,95.69620253164557,216000,71.64556962025317
8004.03,17.088607594936708,95.88607594936708,271000,77.84810126582279,17.088607594936708,95.88607594936708,271000,77.84810126582279
8004.06,17.027863777089784,98.45201238390094,280000,69.04024767801857,17.027863777089784,98.45201238390094,280000,69.04024767801857
8004.07,19.428571428571427,96.28571428571429,215500,50.857142857142854,19.428571428571427,96.28571428571429,215500,50.857142857142854
8004.08,23.679060665362034,98.23874755381604,295000,62.81800391389433,23.679060665362034,98.23874755381604,295000,62.81800391389433
8004.09,14.285714285714285,95.23809523809523,266000,67.61904761904762,14.285714285714285,95.23809523809523,266000,67.61904761904762
8005.03,13.71308016877637,97.57383966244726,325000,53.58649789029536,13.71308016877637,97.57383966244726,325000,53.58649789029536
8005.04,15.159574468085108,98.13829787234043,240000,73.40425531914893,15.159574468085108,98.13829787234043,240000,73.40425531914893
8005.05,9.95260663507109,98.10426540284361,200000,67.77251184834124,9.95260663507109,98.10426540284361,200000,67.77251184834124
8005.07,26.337448559670783,97.94238683127571,383000,53.90946502057613,26.337448559670783,97.94238683127571,383000,53.90946502057613
8005.08,19.84732824427481,98.72773536895674,336000,65.64885496183206,19.84732824427481,98.72773536895674,336000,65.64885496183206
8005.09,17.97520661157025,97.52066115702479,305500,55.268595041322314,17.97520661157025,97.52066115702479,305500,55.268595041322314
8005.10,19.27927927927928,95.67567567567568,211000,59.63963963963964,19.27927927927928,95.67567567567568,211000,59.63963963963964
8005.11,14.317673378076062,97.98657718120806,221000,59.73154362416108,14.317673378076062,97.98657718120806,221000,59.73154362416108
8005.12,16.523605150214593,94.20600858369099,240000,68.88412017167383,16.523605150214593,94.20600858369099,240000,68.88412017167383
8006.01,21.804511278195488,99.24812030075188,180000,56.390977443609025,21.804511278195488,99.24812030075188,180000,56.390977443609025
8006.03,18.769883351007426,98.40933191940616,316000,49.41675503711559,18.769883351007426,98.40933191940616,316000,49.41675503711559
8006.04,24.817518248175183,95.62043795620438,217000,62.04379562043796,24.817518248175183,95.62043795620438,217000,62.04379562043796
8006.05,21.29032258064516,97.74193548387096,254500,69.6774193548387,21.29032258064516,97.74193548387096,254500,69.6774193548387
8006.06,20.707070707070706,95.2020202020202,205500,62.121212121212125,20.707070707070706,95.2020202020202,205500,62.121212121212125
8007.01,17.813765182186234,97.36842105263158,315000,53.23886639676113,17.813765182186234,97.36842105263158,315000,53.23886639676113
8007.02,19.646017699115045,98.93805309734513,326000,60.88495575221239,19.646017699115045,98.93805309734513,326000,60.88495575221239
8007.03,17.914438502673796,97.59358288770053,239000,54.54545454545454,17.914438502673796,97.59358288770053,239000,54.54545454545454
8008.00,18.356164383561644,96.98630136986301,335000,61.369863013698634,18.356164383561644,96.98630136986301,335000,61.369863013698634
8009.00,23,92,278000,57.99999999999999,23,92,278000,57.99999999999999
8010.01,16.738660907127432,97.51619870410367,305000,34.34125269978402,16.738660907127432,97.51619870410367,305000,34.34125269978402
8010.02,21.88006482982172,98.05510534846029,239000,62.398703403565634,21.88006482982172,98.05510534846029,239000,62.398703403565634
8012.02,24.277456647398843,97.30250481695568,217000,60.308285163776496,24.277456647398843,97.30250481695568,217000,60.308285163776496
8012.03,19.291338582677163,98.03149606299213,224500,60.23622047244095,19.291338582677163,98.03149606299213,224500,60.23622047244095
8012.04,22.29580573951435,96.02649006622516,196000,54.083885209713024,22.29580573951435,96.02649006622516,196000,54.083885209713024
8012.05,17.990654205607477,97.19626168224299,264500,61.44859813084113,17.990654205607477,97.19626168224299,264500,61.44859813084113
8012.06,17.111459968602826,97.64521193092621,238000,55.57299843014128,17.111459968602826,97.64521193092621,238000,55.57299843014128
8012.07,22.04724409448819,96.8503937007874,267000,59.31758530183727,22.04724409448819,96.8503937007874,267000,59.31758530183727
8013.01,16.5016501650165,97.11221122112211,312000,51.897689768976896,16.5016501650165,97.11221122112211,312000,51.897689768976896
8013.02,23.628691983122362,94.09282700421942,272000,70.88607594936708,23.628691983122362,94.09282700421942,272000,70.88607594936708
8013.05,19.75609756097561,97.3170731707317,239500,60.24390243902439,19.75609756097561,97.3170731707317,239500,60.24390243902439
8013.06,21.07355864811133,97.8131212723658,240000,53.08151093439364,21.07355864811133,97.8131212723658,240000,53.08151093439364
8013.07,21.379310344827587,96.55172413793103,297500,65.86206896551724,21.379310344827587,96.55172413793103,297500,65.86206896551724
8013.08,17.669172932330827,97.36842105263158,220500,52.255639097744364,17.669172932330827,97.36842105263158,220500,52.255639097744364
8013.09,16.374269005847953,98.53801169590643,288000,60.23391812865497,16.374269005847953,98.53801169590643,288000,60.23391812865497
