avg_bed,tract_number,tract_homevalue_2020,tract_medage_2020,tract_medincome_2020,tract_medincome_2010,tract_pop_2010,tract_pop_2020,great_recession_foreclosures,post_2010_foreclosures,foreclosure_pc_2020,foreclosure_pc_2010,pct_built_2020_later,pct_built_2010_2019,pct_built_2000_2009,pct_built_1990_1999,pct_built_1980_1989,pct_built_1970_1979,pct_built_pre_1960,pct_0_bd,pct_1_bd,pct_2_bd,pct_3_bd,pct_4_more_bd,poverty_2010,poverty_2020,nhwhite_2010,nhwhite_2020,mortgaged_2010,mortgaged_2015,mortgaged_2020,ownoccupied_2010,ownoccupied_2015,ownoccupied_2020,mortgage_change_2010_2015,mortgage_change_2015_2020,mortgage_change_2010_2020,ownoccupied_change_2010_2015,ownoccupied_change_2015_2020,ownoccupied_change_2010_2020,poverty_change_2010_2020,nhwhite_change_2010_2020,medincome_change_2010_2015,medincome_change_2015_2020,medincome_change_2010_2020,pop_change_pct
4,800410,421600,29.7,139107,120243,6903,6737,77,376,55.811191925189256,11.154570476604375,0,0.007484168105929764,0.23316062176165803,0.39320667818077143,0.11168681635002879,0.008059873344847437,0.24640184225676454,0,0.0057570523891767415,0.0644789867587795,0.2987910189982729,0.6309729418537708,0.017528610748949732,0.014843402107763099,0.19397363465160075,0.21478402849933204,0.8106407322654462,0.7799773755656109,0.7974388824214202,0.8581235697940504,0.8936651583710408,0.9342258440046566,-0.03066335669983533,0.017461506855809383,0.013201849844025948,0.03554158857699041,0.04056068563361581,0.07610227421060622,-0.002685208641186633,0.020810393847731284,0.022063654433106292,0.13190828017185263,0.15688231331553604,-0.024047515572939302
3,800411,456700,38.6,113578,88182,4222,3958,29,204,51.54118241536129,6.868782567503553,0.048982188295165395,0.09096692111959287,0.05725190839694656,0.3377862595419847,0.15203562340966922,0.07951653944020357,0.23346055979643765,0.015267175572519083,0.07124681933842239,0.1825699745547074,0.16221374045801526,0.5687022900763359,0.04358124111795358,0.0755432036382011,0.21316911416390336,0.18822637695805963,0.6096181046676096,0.4554250172771251,0.4782928623988227,0.6760961810466761,0.608154803040774,0.6077998528329654,-0.15419308739048448,0.022867845121697594,0.1313252422687869,-0.06794137800590216,-3.5495020780851316e-4,-0.06829632821371068,0.03196196252024753,-0.024942737205843724,-0.06531945294958155,0.3780058722185824,0.2879952824839536,-0.06252960682141165
3,800412,332400,38.9,96271,54819,3339,4386,37,235,53.57957136342909,11.081162024558251,0,0.030124908155767818,0.018368846436443792,0.15576781778104334,0.07347538574577517,0.11609110947832477,0.6061719324026451,0.03306392358559882,0.08376193975018369,0.07641440117560618,0.3453343130051433,0.461425422483468,0.0661874812818209,0.026219790241678066,0.11350703803533992,0.11627906976744186,0.3452631578947368,0.38210702341137126,0.5697115384615384,0.47368421052631576,0.5459866220735786,0.6346153846153846,0.03684386551663443,0.18760451505016718,-0.2244483805668016,0.07230241154726286,0.08862876254180596,0.16093117408906882,-0.03996769104014284,0.0027720317321019428,0.35002462649811195,0.30083640736687073,0.7561611849906055,0.31356693620844567
3,800413,290300,36.2,79821,69135,3683,4420,47,214,48.41628959276018,12.761335867499321,0.025284450063211124,0.08280657395701643,0,0.017699115044247787,0.39823008849557523,0.2718078381795196,0.20417193426042984,0,0.07964601769911504,0.3065739570164349,0.40139064475347663,0.21238938053097345,0.07086614173228346,0.09027149321266968,0.09041542221015476,0.030090497737556562,0.380310182063385,0.37745098039215685,0.3340365682137834,0.4423465947403911,0.42296918767507,0.4142053445850914,-0.002859201671228162,-0.04341441217837344,0.0462736138496016,-0.019377407065321095,-0.008763843089978629,-0.028141250155299724,0.019405351480386218,-0.0603249244725982,0.17523685542778622,-0.017587692307692308,0.15456715122586245,0.20010860711376596
3,800504,341300,46,108750,106250,4884,4790,40,194,40.50104384133612,8.19000819000819,0,0.01801278326554329,0.004648460197559558,0.07495642068564788,0.05926786751888437,0.0674026728646136,0.7757117954677513,0.01336432306798373,0.015107495642068565,0.03253922138291691,0.4427658338175479,0.4962231260894829,0.045454545454545456,0.022338204592901877,0.6703521703521703,0.4918580375782881,0.6866781017724414,0.634828188701223,0.5933874709976799,0.8707833047455689,0.8928363424577752,0.8839907192575406,-0.051849913071218334,-0.041440717703543184,0.09329063077476152,0.022053037712206347,-0.008845623200234631,0.013207414511971716,-0.02311634086164358,-0.1784941327738822,0.0554635294117647,-0.030256012412723042,0.023529411764705882,-0.019246519246519246
4,800505,333100,44.9,124000,90096,2561,2461,19,98,39.82121088988217,7.41897696212417,0,0,0,0,0.006335797254487857,0.046462513199577615,0.9472016895459345,0.008447729672650475,0,0.021119324181626188,0.31045406546990495,0.6599788806758183,0.07262787973447872,0.033319788703778955,0.6856696602889496,0.5095489638358391,0.6348088531187123,0.6748216106014271,0.735966735966736,0.8480885311871227,0.8430173292558614,0.9459459459459459,0.04001275748271482,0.06114512536530892,-0.10115788284802374,-0.0050712019312613155,0.10292861669008457,0.09785741475882326,-0.039308091030699766,-0.17612069645311046,0.0918908719587995,0.2604828462515883,0.37630971408275615,-0.03904724716907458
3,800507,571100,44.7,137708,96653,2655,3223,36,199,61.74371703381942,13.559322033898304,0,0.03965785381026438,0.20917573872472783,0.43157076205287714,0.20606531881804044,0.01088646967340591,0.1026438569206843,0,0.18118195956454122,0.1166407465007776,0.14930015552099535,0.5528771384136858,0.022975517890772127,0.01520322680732237,0.34199623352165726,0.31430344399627674,0.4060795011691348,0.5133505598621878,0.41770057899090157,0.47622759158222916,0.6184323858742463,0.6071133167907361,0.10727105869305298,-0.09564998087128623,-0.011621077821766745,0.14220479429201716,-0.011319069083510214,0.13088572520850694,-0.007772291083449756,-0.027692789525380512,0.039481443928279514,0.370651643790622,0.42476694981014557,0.21393596986817326
3,800511,311600,37.2,103325,85085,5021,5433,65,368,67.73421682311798,12.945628360884287,0,0.005012531328320802,0,0.10776942355889724,0.26416040100250626,0.3423558897243108,0.2807017543859649,0,0.005012531328320802,0.12330827067669173,0.3854636591478697,0.48621553884711777,0.02469627564230233,0.02503221056506534,0.3339972117108146,0.22915516289342905,0.807502467917078,0.6373401534526855,0.6844946025515211,0.8963474827245804,0.7739130434782608,0.8429833169774289,-0.17016231446439256,0.047154449098835594,0.12300786536555697,-0.12243443924631958,0.06907027349916806,-0.053364165747151526,3.359349227630114e-4,-0.10484204881738554,0.20572368807662925,0.007174258448761563,0.21437386143268497,0.08205536745668193
4,800513,369500,37.6,126871,92074,5334,6478,33,250,38.59215807347947,6.186726659167604,0,0.17730802415875754,0.03796376186367558,0.15185504745470232,0.1371872303710095,0.027610008628127698,0.46807592752372734,0,0,0.0030198446937014668,0.3183779119930975,0.6786022433132011,0.028871391076115485,0.0189873417721519,0.5028121484814398,0.3655449212719975,0.7589828634604754,0.729758149316509,0.7562528422010004,0.8911000552791598,0.8706624605678234,0.8772169167803547,-0.029224714143966435,0.026494692884491466,0.0027300212594749684,-0.020437594711336438,0.006554456212531368,-0.01388313849880507,-0.009884049303963586,-0.13726722720944234,0.10377522427612572,0.24837398773971997,0.3779242782978908,0.2144731908511436
4,800514,556600,39.2,174450,164518,4206,6445,82,523,81.14817688130334,19.49595815501664,0.004545454545454545,0.29,0.5577272727272727,0.07272727272727272,0.030454545454545453,0.008636363636363636,0.03590909090909091,0,0,0.018636363636363635,0.21409090909090908,0.7672727272727272,0.028292914883499762,0.02017067494181536,0.11697574893009986,0.057253685027152834,0.8528505392912172,0.8871224165341812,0.7943192948090108,0.8782742681047766,0.918918918918919,0.8829578844270323,0.03427187724296399,-0.09280312172517047,0.05853124448220648,0.04064465081414237,-0.0359610344918867,0.004683616322255668,-0.0081222399416844,-0.05972206390294703,-0.06925078106954861,0.13926530612244897,0.060370293828030976,0.5323347598668569
